Domain,Status,Attractiveness,Demand,Length,Sectors,Created,Expires,Registrar
abkhaz.properties,available,82,1%,6,Geography,,,
absorbent.properties,available,82,3%,9,"Healthcare,Manufacturing,Retail",,,
dozen.properties,available,82,10%,5,Mathematics,,,
altered.properties,available,82,9%,7,"Medicine,Science",,,
decade.properties,available,82,10%,6,Mathematics,,,
good.properties,expired,82,47%,4,"Food and Beverage,General,Health and Fitness,Retail",11/07/2024 15:15,11/07/2025 15:15,"Global Domains International, Inc. DBA DomainCostClub.com"
dorsal.properties,available,80,6%,6,"Medicine,Science",,,
abundant.properties,available,80,19%,8,"Agriculture,Manufacturing,Retail",,,
yard.properties,available,80,26%,4,"Construction,General",,,
absorbable.properties,available,80,0%,10,"Healthcare,Pharmaceuticals,Science",,,
absurd.properties,available,80,16%,6,"Arts,Entertainment,Media",,,
sequent.properties,available,80,7%,7,"Healthcare,Insurance,Transportation",,,
seventh.properties,available,80,10%,7,Mathematics,,,
adoptable.properties,available,80,3%,9,"Education,Healthcare",,,
absolute.properties,available,80,25%,8,"Engineering,Mathematics,Science",,,
twenty.properties,available,80,12%,6,Mathematics,,,
forty.properties,available,80,9%,5,Mathematics,,,
superstar.properties,available,80,18%,9,Entertainment,,,
worshipful.properties,available,80,1%,10,"Education,Healthcare,Religion",,,
capable.properties,available,80,12%,7,"Business,Education,Technology",,,
trio.properties,available,80,21%,4,Entertainment,,,
some.properties,available,80,32%,4,"Business,Media,Retail",,,
two.properties,available,80,24%,3,Mathematics,,,
recognized.properties,available,78,3%,10,"Business,Education,Technology",,,
abkhasian.properties,available,78,1%,9,Geography,,,
acceptant.properties,available,78,1%,9,"Education,Healthcare",,,
abounding.properties,available,78,2%,9,Agriculture,,,
dormant.properties,available,78,4%,7,"Medicine,Science",,,
twentysix.properties,available,78,8%,10,Mathematics,,,
acceptable.properties,available,78,5%,10,"Business,Hospitality,Retail",,,
absorptive.properties,available,78,1%,10,"Healthcare,Manufacturing,Retail",,,
adjacent.properties,available,78,9%,8,"Construction,Real Estate,Retail",,,
honestly.properties,available,78,9%,8,"Business,Law",,,
accepted.properties,available,78,6%,8,"Business,Education,Technology",,,
accidental.properties,available,78,11%,10,"Healthcare,Insurance,Transportation",,,
adrenal.properties,available,78,4%,7,"Education,Healthcare,Science",,,
abkhazian.properties,available,78,1%,9,Geography,,,
low.properties,available,78,20%,3,"Business,Finance",,,
accurate.properties,available,78,16%,8,"Engineering,Mathematics,Science",,,
recognised.properties,available,78,3%,10,"Business,Education,Technology",,,
sixtynine.properties,available,78,8%,10,Mathematics,,,
adorable.properties,available,78,8%,8,"Entertainment,Fashion,Retail",,,
abrasive.properties,available,76,6%,8,"Construction,Manufacturing",,,
acoustic.properties,available,76,14%,8,Science,,,
fourteenth.properties,available,76,1%,10,Mathematics,,,
ague.properties,available,76,2%,4,"Geography,Medicine,Science",,,
obscene.properties,available,76,5%,7,"Entertainment,Media",,,
adipose.properties,available,76,2%,7,"Healthcare,Science",,,
diamond.properties,expired,76,32%,7,Fashion,04/06/2014 16:38,04/06/2025 16:38,"GoDaddy.com, LLC"
threed.properties,available,76,7%,7,Technology,,,
fifteenth.properties,available,76,2%,9,Mathematics,,,
improvise.properties,available,76,4%,9,Entertainment,,,
hundredth.properties,available,76,1%,9,Mathematics,,,
incidental.properties,available,76,4%,10,"Healthcare,Insurance,Transportation",,,
adaptable.properties,available,76,9%,9,"Business,Education,Technology",,,
energizing.properties,available,76,3%,10,"Food and Beverage,Health and Fitness,Travel",,,
auxiliary.properties,available,76,7%,9,"Healthcare,Manufacturing,Technology",,,
ventral.properties,available,76,3%,7,Science,,,
addable.properties,available,76,2%,7,"Engineering,Mathematics,Science",,,
thousandth.properties,available,76,1%,10,Mathematics,,,
ancillary.properties,available,76,6%,9,"Healthcare,Manufacturing,Technology",,,
eighteen.properties,available,76,7%,8,Mathematics,,,
firstrate.properties,available,76,6%,10,Business,,,
thirteenth.properties,available,76,4%,10,Mathematics,,,
resultant.properties,available,76,2%,9,"Healthcare,Insurance,Transportation",,,
nineteenth.properties,available,76,3%,10,Mathematics,,,
adhesive.properties,available,76,7%,8,"Construction,Manufacturing,Technology",,,
adherent.properties,available,76,4%,8,"Politics,Religion",,,
cleared.properties,available,74,7%,7,"Healthcare,Law,Transportation",,,
single.properties,available,74,19%,6,Sports,,,
abnormal.properties,available,74,16%,8,"Medicine,Science",,,
broad.properties,available,74,13%,5,"Entertainment,General,Media",,,
adamant.properties,available,74,14%,7,Religion,,,
realizable.properties,available,74,1%,10,"Business,Education,Technology",,,
skilful.properties,available,74,3%,7,"Education,Health and Fitness,Sports",,,
manageable.properties,available,74,4%,10,"Business,Education,Technology",,,
mavin.properties,available,74,7%,5,"Entertainment,Fashion,Technology",,,
activated.properties,available,74,9%,9,"Healthcare,Manufacturing,Technology",,,
sensation.properties,available,74,7%,9,"Entertainment,Media,Sports",,,
accepting.properties,available,74,3%,9,"Education,Healthcare",,,
playing.properties,available,74,12%,7,Entertainment,,,
admirable.properties,available,74,5%,9,"Business,Education,Healthcare",,,
adrenergic.properties,available,74,1%,10,"Education,Healthcare,Science",,,
adenoid.properties,available,74,1%,7,"Health and Fitness,Medicine,Science",,,
adapted.properties,available,74,6%,7,"Healthcare,Manufacturing,Technology",,,
achievable.properties,available,74,4%,10,"Business,Education,Technology",,,
aberrant.properties,available,74,6%,8,"Medicine,Science",,,
acuate.properties,available,74,2%,6,"Engineering,Medicine,Science",,,
ablaze.properties,available,72,6%,6,Entertainment,,,
abreast.properties,available,72,2%,7,"Business,Technology",,,
improvize.properties,available,72,1%,9,Entertainment,,,
abloom.properties,available,72,5%,6,Agriculture,,,
absolutist.properties,available,72,1%,10,"Humanities,Law,Politics",,,
adiabatic.properties,available,72,3%,9,"Engineering,Science",,,
absorbed.properties,available,72,2%,8,"Entertainment,Media,Technology",,,
adonic.properties,available,72,2%,6,"Arts,Education,Entertainment",,,
adjectival.properties,available,72,1%,10,Education,,,
seventieth.properties,available,72,1%,10,Mathematics,,,
adaptative.properties,available,72,1%,10,"Business,Education,Technology",,,
accusative.properties,available,72,0%,10,"Humanities,Law",,,
ternary.properties,available,72,7%,7,Mathematics,,,
existent.properties,available,72,3%,8,"Mathematics,Science",,,
lovely.properties,available,72,26%,6,"Entertainment,Fashion,Retail",,,
accustomed.properties,available,72,1%,10,"Business,Education,Humanities",,,
eightieth.properties,available,72,1%,9,Mathematics,,,
ninetieth.properties,available,72,1%,9,Mathematics,,,
trinity.properties,available,72,18%,7,Religion,,,
sixtieth.properties,available,72,1%,8,Mathematics,,,
trey.properties,available,72,14%,4,Sports,,,
aching.properties,available,72,4%,6,Healthcare,,,
deep.properties,resell,72,41%,4,"Engineering,Mathematics,Science",13/08/2024 04:56,13/08/2026 04:56,"Sav.com, LLC"
addicted.properties,available,72,9%,8,Healthcare,,,
champion.properties,available,72,28%,8,"Entertainment,Health and Fitness,Sports",,,
adjunctive.properties,available,72,1%,10,"Healthcare,Manufacturing,Technology",,,
engrossed.properties,available,72,1%,9,"Entertainment,Media,Technology",,,
accumbent.properties,available,70,1%,9,"Healthcare,Medicine,Science",,,
absorbing.properties,available,70,3%,9,"Entertainment,Media,Technology",,,
offhand.properties,available,70,2%,7,Entertainment,,,
skillful.properties,available,70,9%,8,"Education,Health and Fitness,Sports",,,
miserable.properties,available,70,4%,9,Humanities,,,
gymnastic.properties,available,70,3%,9,"Entertainment,Sports",,,
acuminate.properties,available,70,1%,9,"Engineering,Medicine,Science",,,
practiced.properties,available,70,3%,9,"Education,Health and Fitness,Sports",,,
stillborn.properties,available,70,2%,9,"Medicine,Science",,,
adored.properties,available,70,6%,6,"Entertainment,Fashion,Retail",,,
tiptop.properties,available,70,24%,6,Fashion,,,
recumbent.properties,available,70,2%,9,"Healthcare,Medicine,Science",,,
abulic.properties,available,70,1%,6,Medicine,,,
admired.properties,available,70,5%,7,"Business,Education,Healthcare",,,
consequent.properties,available,70,3%,10,"Business,Education,General,Technology",,,
adamantine.properties,available,70,4%,10,Religion,,,
lowdown.properties,available,70,6%,8,"Entertainment,Media",,,
adjusted.properties,available,70,5%,8,"Manufacturing,Retail,Technology",,,
abradant.properties,available,70,1%,8,"Construction,Manufacturing",,,
foursome.properties,available,68,4%,8,Sports,,,
octonary.properties,available,68,1%,8,Mathematics,,,
achaian.properties,available,68,2%,7,Humanities,,,
disciple.properties,available,68,14%,8,"Education,Religion",,,
aberdonian.properties,available,68,1%,10,Geography,,,
licensed.properties,available,68,5%,8,"Business,Healthcare,Insurance",,,
aculeate.properties,available,68,1%,8,"Engineering,Medicine,Science",,,
overseas.properties,available,68,12%,8,"Hospitality,Travel",,,
abnaki.properties,available,68,1%,6,Geography,,,
fortieth.properties,available,68,0%,8,Mathematics,,,
acerate.properties,available,68,1%,7,Science,,,
stygian.properties,available,68,5%,7,Humanities,,,
abducent.properties,available,68,0%,8,Medicine,,,
licenced.properties,available,68,2%,8,"Business,Healthcare,Insurance",,,
threesome.properties,available,68,5%,9,Entertainment,,,
thirtieth.properties,available,68,1%,9,Mathematics,,,
activating.properties,available,68,3%,10,"Healthcare,Manufacturing,Technology",,,
vindicated.properties,available,68,2%,10,"Humanities,Law,Politics",,,
sevener.properties,available,68,1%,7,Mathematics,,,
abkhas.properties,available,68,0%,6,Geography,,,
fiftieth.properties,available,68,0%,8,Mathematics,,,
aroused.properties,available,68,3%,7,"Entertainment,Health and Fitness",,,
ane.properties,available,68,12%,3,Mathematics,,,
ennead.properties,available,68,5%,6,Mathematics,,,
accredited.properties,available,68,9%,10,"Business,Education,Healthcare",,,
scurvy.properties,available,68,3%,6,Humanities,,,
ablative.properties,available,68,3%,8,Science,,,
decorated.properties,available,68,3%,9,"Entertainment,Fashion,Retail",,,
achaean.properties,available,68,2%,7,Humanities,,,
septenary.properties,available,68,1%,9,Mathematics,,,
adorned.properties,available,66,5%,7,"Entertainment,Fashion,Retail",,,
onec.properties,available,66,6%,5,Mathematics,,,
adopted.properties,available,66,4%,7,"Education,Healthcare",,,
clv.properties,available,66,10%,3,Mathematics,,,
six.properties,available,66,26%,3,Mathematics,,,
accessary.properties,available,66,1%,9,"Business,Law,Technology",,,
ninety.properties,available,66,11%,6,Mathematics,,,
xiii.properties,available,66,9%,4,Mathematics,,,
xvii.properties,available,66,5%,4,Mathematics,,,
thirty.properties,available,66,8%,6,Mathematics,,,
fifty.properties,available,66,12%,5,Mathematics,,,
xxvi.properties,available,66,3%,4,Mathematics,,,
xxv.properties,available,66,6%,3,Mathematics,,,
deuce.properties,available,66,9%,5,Sports,,,
xvi.properties,available,66,5%,3,Mathematics,,,
sextet.properties,available,66,1%,6,Entertainment,,,
exonerated.properties,available,66,2%,10,"Humanities,Law,Politics",,,
xviii.properties,available,66,5%,5,Mathematics,,,
maven.properties,expiring,66,30%,5,"Entertainment,Fashion,Technology",03/09/2024 17:00,03/09/2025 17:00,"Sav.com, LLC - 34"
acervate.properties,available,66,1%,8,Science,,,
eighty.properties,available,66,6%,6,Mathematics,,,
four.properties,available,66,27%,4,Mathematics,,,
modish.properties,available,66,5%,6,Fashion,,,
xii.properties,available,66,10%,3,Mathematics,,,
tenner.properties,available,66,5%,6,Finance,,,
acrobatic.properties,available,66,4%,9,"Entertainment,Sports",,,
buzzing.properties,available,66,7%,7,"Entertainment,Media,Technology",,,
according.properties,available,66,3%,9,"Business,Education,Technology",,,
xxii.properties,available,66,6%,4,Mathematics,,,
performing.properties,available,66,6%,10,Entertainment,,,
teenager.properties,available,66,4%,8,"Education,Entertainment,Healthcare",,,
acappella.properties,available,66,6%,10,Entertainment,,,
xxi.properties,available,66,10%,3,Mathematics,,,
abstinent.properties,available,66,1%,9,"Health and Fitness,Religion",,,
adagio.properties,available,64,14%,6,Entertainment,,,
acentric.properties,available,64,2%,8,Science,,,
aflame.properties,available,64,3%,6,Entertainment,,,
absolved.properties,available,64,1%,8,"Humanities,Law,Religion",,,
scatty.properties,available,64,1%,6,"Arts,Entertainment,Media",,,
deviant.properties,available,64,12%,7,"Medicine,Science",,,
accordant.properties,available,64,3%,9,"Arts,Entertainment",,,
ccc.properties,available,64,38%,3,Mathematics,,,
rising.properties,available,64,18%,6,"Construction,Manufacturing,Real Estate",,,
astringent.properties,available,64,1%,10,"Healthcare,Pharmaceuticals",,,
nondrinker.properties,available,64,1%,10,"Health and Fitness,Religion",,,
orso.properties,available,62,9%,5,"Business,Media,Technology",,,
accrued.properties,available,62,2%,7,"Banking,Finance,Insurance",,,
quartet.properties,available,62,7%,7,"Arts,Entertainment",,,
admissible.properties,available,62,1%,10,"Education,Healthcare,Law",,,
accusing.properties,available,62,1%,8,Law,,,
aborigine.properties,available,62,1%,9,Humanities,,,
cumulative.properties,available,62,2%,10,"Banking,Finance,Insurance",,,
activation.properties,available,62,16%,10,"Healthcare,Manufacturing,Technology",,,
sixteenth.properties,available,62,1%,9,Mathematics,,,
ensuant.properties,available,62,1%,7,"Healthcare,Insurance,Transportation",,,
roughly.properties,available,62,3%,7,"Business,Media,Technology",,,
playacting.properties,available,62,1%,10,Entertainment,,,
aufait.properties,available,62,3%,7,"Fashion,Media",,,
eighteenth.properties,available,62,1%,10,Mathematics,,,
pungent.properties,available,62,1%,7,Food and Beverage,,,
nail.properties,available,62,16%,4,"Construction,Fashion,General,Retail",,,
twodozen.properties,available,62,1%,9,Mathematics,,,
adoptive.properties,available,62,1%,8,"Education,Healthcare",,,
chiliad.properties,available,62,2%,7,Mathematics,,,
exculpated.properties,available,62,1%,10,"Humanities,Law,Politics",,,
abo.properties,available,62,15%,3,Science,,,
wrapped.properties,available,62,13%,7,"Fashion,Hospitality,Retail",,,
fortyfour.properties,available,62,6%,10,Mathematics,,,
eleventh.properties,available,62,5%,8,Mathematics,,,
acidic.properties,available,62,5%,6,"Food and Beverage,Science",,,
activistic.properties,available,62,1%,10,"Humanities,Politics",,,
longdozen.properties,available,62,2%,10,Mathematics,,,
adjuvant.properties,available,62,5%,8,"Healthcare,Manufacturing,Technology",,,
troika.properties,available,62,8%,6,Politics,,,
cxxxv.properties,available,60,2%,5,Mathematics,,,
abstainer.properties,available,60,0%,9,"Health and Fitness,Religion",,,
cxv.properties,available,60,4%,3,Mathematics,,,
eightysix.properties,available,60,7%,10,Mathematics,,,
cautionary.properties,available,60,1%,10,"Business,Education,Healthcare",,,
annexal.properties,available,60,1%,7,"Agriculture,Manufacturing,Retail",,,
cxl.properties,available,60,7%,3,Mathematics,,,
adnexal.properties,available,60,1%,7,"Agriculture,Manufacturing,Retail",,,
cxx.properties,available,60,10%,3,Mathematics,,,
xcl.properties,available,60,5%,3,Mathematics,,,
adnate.properties,available,60,1%,6,"Agriculture,Manufacturing,Retail",,,
octet.properties,available,60,12%,5,Arts,,,
clx.properties,available,60,10%,3,Mathematics,,,
aboveboard.properties,available,60,5%,10,"Business,Law",,,
thou.properties,available,60,7%,4,Mathematics,,,
clxxx.properties,available,60,1%,5,Mathematics,,,
abstemious.properties,available,60,0%,10,"Food and Beverage,Health and Fitness,Hospitality",,,
clxv.properties,available,60,1%,4,Mathematics,,,
cxlv.properties,available,60,2%,4,Mathematics,,,
clxx.properties,available,60,3%,4,Mathematics,,,
cxxv.properties,available,60,1%,4,Mathematics,,,
abashed.properties,available,60,1%,7,Humanities,,,
paunchy.properties,available,60,0%,7,"Health and Fitness,Medicine",,,
idolized.properties,available,60,3%,8,"Entertainment,Fashion,Retail",,,
idolised.properties,available,60,1%,8,"Entertainment,Fashion,Retail",,,
cxxx.properties,available,60,4%,4,Mathematics,,,
acceptive.properties,available,60,1%,9,"Education,Healthcare",,,
clxxv.properties,available,60,1%,5,Mathematics,,,
sixty.properties,available,60,13%,5,Mathematics,,,
tertiary.properties,available,60,4%,8,Education,,,
tercet.properties,available,59,2%,6,"Arts,Entertainment,Media",,,
actuarial.properties,available,58,8%,9,"Finance,Insurance,Mathematics",,,
adhoc.properties,available,58,24%,6,"Business,Engineering,Technology",,,
offhanded.properties,available,58,1%,9,Entertainment,,,
ache.properties,available,58,7%,4,Healthcare,,,
closeto.properties,available,58,3%,8,"Business,Media,Technology",,,
tetrad.properties,available,58,5%,6,Mathematics,,,
accretive.properties,available,58,6%,9,"Banking,Finance,Insurance",,,
adient.properties,available,58,4%,6,"Medicine,Science",,,
addible.properties,available,58,2%,7,"Engineering,Mathematics,Science",,,
pentad.properties,available,58,2%,6,Mathematics,,,
heptad.properties,available,58,1%,6,Mathematics,,,
acetic.properties,available,58,1%,6,"Food and Beverage,Science",,,
sextuplet.properties,available,58,1%,9,Healthcare,,,
seven.properties,resell,58,36%,5,Mathematics,26/02/2025 17:00,26/02/2026 17:00,Dynadot Inc
enwrapped.properties,available,58,0%,9,"Entertainment,Fashion,Media",,,
niner.properties,available,58,5%,5,Mathematics,,,
eighter.properties,available,58,2%,7,Mathematics,,,
justabout.properties,available,58,3%,10,"Business,Media,Technology",,,
sixer.properties,available,58,5%,5,Sports,,,
lxxx.properties,available,58,2%,4,Mathematics,,,
lxxviii.properties,available,58,1%,7,Mathematics,,,
abridged.properties,available,58,4%,8,Media,,,
super.properties,available,58,47%,5,Business,,,
aucourant.properties,available,58,3%,10,"Fashion,Media",,,
twelfth.properties,available,58,2%,7,Mathematics,,,
alacarte.properties,available,58,11%,10,Food and Beverage,,,
hexad.properties,available,58,4%,5,Mathematics,,,
abandoned.properties,available,58,10%,9,"Construction,Real Estate",,,
abuzz.properties,available,58,5%,5,"Entertainment,Media,Technology",,,
fourth.properties,available,58,13%,6,Mathematics,,,
addressed.properties,available,58,3%,9,"Business,Technology,Telecommunications",,,
fifth.properties,available,58,12%,5,Mathematics,,,
accoutred.properties,available,58,1%,9,"Fashion,Manufacturing,Retail",,,
seventy.properties,available,58,7%,7,Mathematics,,,
centesimal.properties,available,58,1%,10,Mathematics,,,
quintet.properties,available,58,8%,7,"Arts,Entertainment",,,
cypher.properties,available,58,29%,6,Mathematics,,,
octad.properties,available,58,5%,5,Mathematics,,,
sixtyone.properties,available,58,3%,9,Mathematics,,,
fourscore.properties,available,58,4%,9,Mathematics,,,
adjustive.properties,available,58,1%,9,"Manufacturing,Retail,Technology",,,
abused.properties,available,58,5%,6,"Healthcare,Law",,,
acyclic.properties,available,58,4%,7,"Engineering,Mathematics,Science",,,
accented.properties,available,58,3%,8,"Arts,Entertainment",,,
lviii.properties,available,56,1%,5,Mathematics,,,
xliii.properties,available,56,1%,5,Mathematics,,,
xxviii.properties,available,56,1%,6,Mathematics,,,
liii.properties,available,56,4%,4,Mathematics,,,
lvii.properties,available,56,1%,4,Mathematics,,,
fiftyfive.properties,available,56,7%,10,Mathematics,,,
xxxiii.properties,available,56,2%,6,Mathematics,,,
accoutered.properties,available,56,0%,10,"Fashion,Manufacturing,Retail",,,
xxxiv.properties,available,56,1%,5,Mathematics,,,
xxxi.properties,available,56,9%,4,Mathematics,,,
fortysix.properties,available,56,3%,9,Mathematics,,,
fiftyone.properties,available,56,7%,9,Mathematics,,,
xxxii.properties,available,56,1%,5,Mathematics,,,
lvi.properties,available,56,8%,3,Mathematics,,,
xxxv.properties,available,56,4%,4,Mathematics,,,
xxxvii.properties,available,56,2%,6,Mathematics,,,
thirtyone.properties,available,56,5%,10,Mathematics,,,
lii.properties,available,56,7%,3,Mathematics,,,
thirtytwo.properties,available,56,5%,10,Mathematics,,,
abdominous.properties,available,56,0%,10,"Health and Fitness,Medicine",,,
xxix.properties,available,56,4%,4,Mathematics,,,
aone.properties,available,56,15%,5,Food and Beverage,,,
fiftyfour.properties,available,56,3%,10,Mathematics,,,
thirtysix.properties,available,56,5%,10,Mathematics,,,
fortynine.properties,available,56,3%,10,Mathematics,,,
xli.properties,available,56,5%,3,Mathematics,,,
abeyant.properties,available,56,1%,7,"Business,Law",,,
xlvi.properties,available,56,3%,4,Mathematics,,,
fiftysix.properties,available,56,4%,9,Mathematics,,,
xlii.properties,available,56,5%,4,Mathematics,,,
appressed.properties,available,56,0%,9,"Agriculture,Manufacturing,Retail",,,
fiftytwo.properties,available,56,6%,9,Mathematics,,,
xxiv.properties,available,56,5%,4,Mathematics,,,
terzetto.properties,available,56,3%,8,Arts,,,
xlvii.properties,available,56,2%,5,Mathematics,,,
xliv.properties,available,56,2%,4,Mathematics,,,
potbellied.properties,available,56,0%,10,"Health and Fitness,Medicine",,,
fiftynine.properties,available,56,4%,10,Mathematics,,,
xxiii.properties,available,56,5%,5,Mathematics,,,
admittable.properties,available,56,1%,10,"Education,Healthcare,Hospitality",,,
fortytwo.properties,available,56,17%,9,Mathematics,,,
fortyone.properties,available,56,4%,9,Mathematics,,,
xxxviii.properties,available,56,1%,7,Mathematics,,,
xxxvi.properties,available,56,1%,5,Mathematics,,,
maledict.properties,available,56,1%,8,Religion,,,
xlv.properties,available,56,6%,3,Mathematics,,,
xxvii.properties,available,56,3%,5,Mathematics,,,
ilx.properties,available,56,5%,3,Mathematics,,,
triad.properties,available,56,15%,5,Arts,,,
admittible.properties,available,56,1%,10,"Education,Healthcare,Hospitality",,,
admissive.properties,available,56,1%,9,"Education,Healthcare,Hospitality",,,
xlviii.properties,available,56,1%,6,Mathematics,,,
addled.properties,available,56,2%,6,Entertainment,,,
halfdozen.properties,available,56,1%,10,Mathematics,,,
vii.properties,available,54,13%,3,Mathematics,,,
quintuplet.properties,available,54,1%,10,"Healthcare,Medicine,Science",,,
adaxial.properties,available,54,2%,7,Science,,,
monitory.properties,available,54,3%,8,"Business,Education,Healthcare",,,
ternion.properties,available,54,3%,7,Mathematics,,,
admonitory.properties,available,54,0%,10,"Business,Education,Healthcare",,,
deuceace.properties,available,54,2%,9,Sports,,,
achromatic.properties,available,54,4%,10,Science,,,
abasic.properties,available,54,1%,6,Science,,,
achy.properties,available,54,3%,4,Healthcare,,,
quatern.properties,available,54,2%,7,Mathematics,,,
quaternity.properties,available,54,4%,10,Mathematics,,,
threescore.properties,available,54,1%,10,Mathematics,,,
iii.properties,available,54,24%,3,Mathematics,,,
abatic.properties,available,54,1%,6,Science,,,
scratchy.properties,available,54,3%,8,Fashion,,,
adducent.properties,available,54,1%,8,"Engineering,Mathematics,Science",,,
sise.properties,available,54,5%,4,Mathematics,,,
actuated.properties,available,54,2%,8,"Automotive,Manufacturing,Technology",,,
quadruplet.properties,available,54,1%,10,"Healthcare,Medicine,Science",,,
